交易时间,公众账号ID,商户号,特约商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,应结订单金额,代金券金额,微信退款单号,商户退款单号,退款金额,充值券退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率,订单金额,申请退款金额,费率备注
`2019-08-01 15:20:36,`wx3e7ceb86cee67f2e,`1495632872,`0,`,`4200000343201908015055653441,`201908011520203816,`ozxDownVVqprIPuCdMFQQwUonovc,`APP,`SUCCESS,`CFT,`CNY,`5.00,`0.00,`0,`0,`0.00,`0.00,`,`,`黄金会员1天,`201908011520203816__test__app,`0.05000,`1.00%,`5.00,`0.00,`
`2019-08-03 17:38:45,`wx3e7ceb86cee67f2e,`1495632872,`0,`,`4200000357201908037848508886,`201908031738311920,`ozxDowpSDSr87t0rR_U7mg9Q5FF8,`APP,`SUCCESS,`CCB_DEBIT,`CNY,`60.00,`0.00,`0,`0,`0.00,`0.00,`,`,`黄金会员3个月,`201908031738311920__test__app,`0.60000,`1.00%,`60.00,`0.00,`
`2019-08-07 16:04:01,`wx3e7ceb86cee67f2e,`1495632872,`0,`,`4200000354201908078178253976,`201908071603545889,`ozxDowsd_WCz33UiBK7BvolcmL1w,`APP,`SUCCESS,`CFT,`CNY,`5.00,`0.00,`0,`0,`0.00,`0.00,`,`,`黄金会员1天,`201908071603545889__test__app,`0.05000,`1.00%,`5.00,`0.00,`
`2019-08-08 10:54:03,`wx3e7ceb86cee67f2e,`1495632872,`0,`,`4200000349201908081851756138,`201908081053473179,`ozxDowsVQ56qq8r4LeWP644L6GAI,`APP,`SUCCESS,`CFT,`CNY,`5.00,`0.00,`0,`0,`0.00,`0.00,`,`,`黄金会员1天,`201908081053473179__test__app,`0.05000,`1.00%,`5.00,`0.00,`
`2019-08-10 00:39:40,`wx3e7ceb86cee67f2e,`1495632872,`0,`,`4200000345201908100803887882,`201908100039341840,`ozxDowv7GNHYTYZO58gky2njVE1k,`APP,`SUCCESS,`CFT,`CNY,`5.00,`0.00,`0,`0,`0.00,`0.00,`,`,`黄金会员1天,`201908100039341840__test__app,`0.05000,`1.00%,`5.00,`0.00,`
`2019-08-12 18:30:22,`wx3e7ceb86cee67f2e,`1495632872,`0,`,`4200000340201908125699157513,`201908121830149694,`ozxDowteNcWm7F1klj0DgHg2IsKY,`APP,`SUCCESS,`CFT,`CNY,`5.00,`0.00,`0,`0,`0.00,`0.00,`,`,`黄金会员1天,`201908121830149694__test__app,`0.05000,`1.00%,`5.00,`0.00,`
`2019-08-12 16:17:56,`wx3e7ceb86cee67f2e,`1495632872,`0,`,`4200000347201908123982176836,`201908121617426550,`ozxDowgfWn2d0Vf2OBYNnN_SUAaU,`APP,`SUCCESS,`SPDB_DEBIT,`CNY,`5.00,`0.00,`0,`0,`0.00,`0.00,`,`,`黄金会员1天,`201908121617426550__test__app,`0.05000,`1.00%,`5.00,`0.00,`
`2019-08-13 13:22:02,`wx3e7ceb86cee67f2e,`1495632872,`0,`,`4200000346201908134114721134,`201908131321575974,`ozxDowhiSUrmFYktNXa2pYM1fyYw,`APP,`SUCCESS,`CFT,`CNY,`30.00,`0.00,`0,`0,`0.00,`0.00,`,`,`黄金会员1个月,`201908131321575974__test__app,`0.30000,`1.00%,`30.00,`0.00,`
`2019-08-14 14:22:14,`wx3e7ceb86cee67f2e,`1495632872,`0,`,`4200000340201908147279119904,`201908141422064840,`ozxDowgfWn2d0Vf2OBYNnN_SUAaU,`APP,`SUCCESS,`SPDB_DEBIT,`CNY,`15.00,`0.00,`0,`0,`0.00,`0.00,`,`,`黄金会员1周,`201908141422064840__test__app,`0.15000,`1.00%,`15.00,`0.00,`
`2019-08-14 11:17:46,`wx3e7ceb86cee67f2e,`1495632872,`0,`,`4200000340201908143884856361,`201908141117383306,`ozxDowpeVKrR2shVUwj92LAgv-Lk,`APP,`SUCCESS,`CFT,`CNY,`30.00,`0.00,`0,`0,`0.00,`0.00,`,`,`黄金会员1个月,`201908141117383306__test__app,`0.30000,`1.00%,`30.00,`0.00,`
`2019-08-14 21:23:24,`wx3e7ceb86cee67f2e,`1495632872,`0,`,`4200000356201908142939169979,`201908142123085690,`ozxDowoIqa1Ax8FecJCBljHmJVVo,`APP,`SUCCESS,`CFT,`CNY,`30.00,`0.00,`0,`0,`0.00,`0.00,`,`,`黄金会员1个月,`201908142123085690__test__app,`0.30000,`1.00%,`30.00,`0.00,`
`2019-08-18 17:47:52,`wx3e7ceb86cee67f2e,`1495632872,`0,`,`4200000340201908183380002421,`201908181747221694,`ozxDowpgox1B2QmfhCymtt1i6vUU,`APP,`SUCCESS,`CFT,`CNY,`15.00,`0.00,`0,`0,`0.00,`0.00,`,`,`黄金会员1周,`201908181747221694__test__app,`0.15000,`1.00%,`15.00,`0.00,`
总交易单数,应结订单总金额,退款总金额,充值券退款总金额,手续费总金额,订单总金额,申请退款总金额
`12.0,`210.0,`0.0,`0.0,`2.1,`210.0,`0.0